,name,type,promoter.name,info,pleaseNote,priceMin,priceMax,subGenre,city,state,venueName,attractionName,artists,num.artists,latitude,longitude,venueUpcoming,meanPrice,date
11,The Roots Picnic,event,LIVE NATION MUSIC,Event Time is now 12pm.,,99.5,99.5,French Rap,Philadelphia,Pennsylvania,TD Pavilion at the Mann,The Roots Picnic,['The Roots Picnic'],1,39.981508,-75.224066,25,99.5,2020-05-30
12,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",44.75,475.75,French Rap,Chicago,Illinois,United Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,41.88124412,-87.67427375,20,260.25,2020-06-24
13,Lil Baby - Rod Wave - Nba Youngboy,event,PROMOTED BY VENUE,,,59.0,250.0,French Rap,Memphis,Tennessee,FedExForum,Lil Baby,"['Lil Baby', 'Rod Wave', 'NBA Youngboy']",3,35.1394709,-90.0514933,14,154.5,2020-04-19
14,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.","To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",43.5,475.75,French Rap,Anaheim,California,Honda Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,33.80780364,-117.87653112,30,259.625,2020-08-08
15,NBA YoungBoy W/Quando Rondo Live,event,PROMOTED BY VENUE,Super Excellent Seats are non-transferable. The ID of the original purchaser must be presented to pick up the tickets. Super Excellent Seats will be made available for will call pick up no earlier than 30 minutes prior to doors.,,80.0,155.0,French Rap,Washington,District of Columbia,The Anthem,Youngboy Never Broke Again,"['Youngboy Never Broke Again', 'Quando Rondo']",2,38.880099,-77.026165,55,117.5,2020-04-10
16,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",44.75,450.75,French Rap,Dallas,Texas,American Airlines Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,32.79067196,-96.81081803,32,247.75,2020-07-25
17,Power Springfest: Lil Baby - Rod Wave - NBA Youngboy,event,PROMOTED BY VENUE,,,68.0,203.0,French Rap,Columbus,Ohio,Schottenstein Center,Lil Baby,"['Lil Baby', 'Rod Wave', 'NBA Youngboy', 'YK Osiris']",4,40.0080079,-83.0249081,24,135.5,2020-04-05
18,Russ,event,ANDREW HEWITT & BILL SILVA PRESENTS,,"NO REFUNDS, EXCHANGES OR CANCELATIONS. Click here for Park and Ride or Shuttle tickets.",29.5,175.0,French Rap,Hollywood,California,Hollywood Bowl,Russ,['Russ'],1,34.11177334,-118.33851469,21,102.25,2020-05-08
19,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"All patrons must have a ticket. No exceptions. To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",44.75,420.75,French Rap,Glendale,Arizona,Gila River Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver', '88Glam']",4,33.531484,-112.26167,28,232.75,2020-08-11
20,Feed The Streetz Tour 2020,event,PROMOTED BY VENUE,,Ages 2 and up need a ticket for entry.,39.0,215.0,French Rap,Greensboro,North Carolina,Greensboro Coliseum Complex,Rick Ross,"['Rick Ross', '2 Chainz', 'Jeezy', 'T.I.', 'Yo Gotti', 'Lil Kim', 'Boosie BadAzz', 'DJ Drama']",8,36.058332,-79.825534,39,127.0,2020-05-02
21,DaBaby,event,PROMOTED BY VENUE,"This event is being rescheduled from March 14, 2020 at 8:00 PM and will now take place on March 27, 2020 at 8:00 PM. Refunds are available at point of purchase by request only. Original tickets will be honored by the venue on the new date.",,47.5,197.5,French Rap,Charlottesville,Virginia,John Paul Jones Arena,DaBaby,['DaBaby'],1,38.0458774,-78.5066485,5,122.5,2020-03-27
22,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,COMMUNITY ARENA MANAGEMENT,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",49.75,450.75,French Rap,San Antonio,Texas,AT&T Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,29.4330386,-98.4337987,17,250.25,2020-08-19
23,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,PROMOTED BY VENUE,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible. Tickets are not available at the box office on the first day of the public on sale. ARRIVE EARLY: Please arrive one-hour prior to showtime. All packages, including briefcases and pocketbooks, will be inspected prior to entry.",29.75,475.75,French Rap,New York,New York,Madison Square Garden,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,40.7497062,-73.9916006,350,252.75,2020-09-03
24,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,PROMOTED BY VENUE,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",29.75,475.75,French Rap,Brooklyn,New York,Barclays Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,40.68350417,-73.97661659,21,252.75,2020-07-08
25,Russ,event,PROMOTED BY VENUE,"CLEAR BAG POLICY (an exception will be made for medically necessary items after proper inspections). Fans may carry only the following style and size bags, packages, or containers into WAMU Theater or when approaching queue lines of fans awaiting entry. Clear plastic/vinyl/PVC and do not exceed 12 in. x 6 in. x 12 in. One-gallon clear plastic freezer bag (Ziploc bag or similar). Small clutch bags that do not exceed 4.5 in x 6.5 in, with or without the handle or strap may be carried in along with a clear bag.","This is a General Admission show. Please adhere to published ticket limits. There is a eight (8) ticket limit per household for the presales and public on sale. If you exceed the ticket limit, you may have any or all of your orders and tickets canceled without notice. There are no refunds or exchanges. Once a patron has exited the venue, there is no re-entry back into the venue. All ages require a ticket for admission.",46.75,46.75,French Rap,Seattle,Washington,WAMU Theater,Russ,"['Russ', 'Benny The Butcher', 'Bia', 'Bugus']",4,47.596704,-122.332085,18,46.75,2020-05-01
26,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION - NO LN CONCERTS BRANDING,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.","The moment you enter the Legends Suites at the Amway Center, you are no longer a spectator; you're a participant. You will enjoy the luxury of an exclusive suite with the accessibility of a premium club. Between the first-class perks and privileges, you'll quickly realize that this is an entirely new way to experience the extraordinary. A truly legendary moment awaits you! All-inclusive Food & Beverage · Private box area exclusive to Legends Suites members · Exclusive suite located on the Club Level · Access to the Club Level lounges and restaurant (restaurant is not open for all performances) · Private restrooms on the Club Level. To purchase this experience, please click here""",49.5,650.0,French Rap,Orlando,Florida,Amway Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,28.539293,-81.383957,24,349.75,2020-07-21
27,Flyover 2020 featuring A$AP Rocky and many more,event,MAMMOTH INC,"Flyover 2020 featuring A$AP Rocky, Playboi Carti, Lil Tecca, Shoreline Mafia, Young M.A., NLE Choppa, iann dior, Yung Baby Tate, Na-Kel Smith VIP Pit (SRO), GA Pit (includes entire lower bowl, seats + standing), Reserved Upper, GA Lawn. Doors 2:00pm / Show 2:30pm. VIP Pit Tickets include a preferred viewing area at the front of the stage, early entry, and VIP Club Access. Lineup subject to change.",,49.5,200.0,French Rap,Bonner Springs,Kansas,Providence Medical Center Amphitheater,A$AP Rocky,"['A$AP Rocky', 'Playboi Carti', 'Lil Tecca', 'Shoreline Mafia', 'Young M.A.', 'NLE Choppa', 'iann dior', 'Yung Baby Tate', 'Na-Kel Smith', 'Flyover KC']",10,39.11365616,-94.87693183,13,124.75,2020-05-09
28,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,PROMOTED BY VENUE,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.","To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible. Guests attending TD Garden events are advised that laptops, bags, backpacks, luggage, coolers, parcels, briefcases and like articles will be strictly prohibited from the facility. All guests may be subject to search of their person and/or possessions. Patrons with prohibited articles will be turned away and no storage or ""check-in area"" will be provided. Enforcement will be without exceptions.",49.75,495.75,French Rap,Boston,Massachusetts,TD Garden,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,42.365841,-71.060724,26,272.75,2020-07-11
29,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",49.75,450.75,French Rap,Washington,District of Columbia,Capital One Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,38.897412,-77.020029,19,250.25,2020-07-13
30,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",49.75,450.75,French Rap,Detroit,Michigan,Little Caesars Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,42.341089,-83.055434,25,250.25,2020-06-27
31,Sech - Sueños Tour 2020,event,PROMOTED BY VENUE,Ticket includes $2 charity fee,,61.0,131.0,Reggaeton,New York,New York,United Palace,Sech,"['Sech', 'Dalex']",2,40.84626724,-73.93835048,5,96.0,2020-03-14
32,The Weeknd with Special Guest Sabrina Claudio,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",45.75,471.75,French Rap,Miami,Florida,AmericanAirlines Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio']",2,25.781232,-80.187805,26,258.75,2020-07-18
33,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION - NO LN CONCERTS BRANDING,"To purchase advance parking for this event, please click here: https://prucenter.clickandpark.com/","To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",29.75,475.75,French Rap,Newark,New Jersey,Prudential Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,40.73340555,-74.17121214,22,252.75,2020-07-07
34,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,"All floor seats for concerts and family shows come with club access. Doors generally open one hour before the show time To purchase accessible seats using the map, click on the ADA logo on the ""Filters"" tab to view available seating. For assistance purchasing accessible seats over the phone please call 1-800-877-7575.","To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible. Doors generally open one hour before the show time To purchase accessible seats using the map, click on the ADA logo on the ""Filters"" tab to view available seating. For assistance purchasing accessible seats over the phone please call 1-800-877-7575.",25.75,446.75,French Rap,Sacramento,California,Golden 1 Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,38.580372,-121.500231,36,236.25,2020-08-06
35,The Smoker's Club,event,LIVE NATION MUSIC,,,49.5,199.88,French Rap,Concord,California,Concord Pavilion,The Smoker's Club,"[""The Smoker's Club"", 'Lil Baby', 'Tory Lanez', 'Lil Tecca', 'Chief Keef', 'Berner', 'Quando Rondo', 'Smoke Dza', 'Abby Jasmine', 'Slayter', 'Trae Tha Truth', 'XanMan']",12,37.960355,-121.939656,17,124.69,2020-05-30
36,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,To allow for more Card Members to enjoy the show. American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.,29.75,450.75,French Rap,Tacoma,Washington,Tacoma Dome,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,47.23634,-122.426834,18,240.25,2020-08-01
37,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",49.75,450.75,French Rap,Atlanta,Georgia,State Farm Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,33.757796,-84.394569,21,250.25,2020-07-16
38,Trippie Redd - Love Me More Tour,event,LIVE NATION MUSIC,Purchase your tickets at the Hollywood Palladium box office every Saturday from 10am-2pm without service charges for any event at the Hollywood Palladium or Wiltern . Subject to availability. All tickets for this show are General Admission Standing Room only.,This event has been rescheduled: Original Date: March 15th 7pm New Date: June 27th 7pm Purchase your tickets at the Hollywood Palladium box office every Saturday from 10am-2pm without service charges for any event at the Hollywood Palladium or Wiltern . Subject to availability. All tickets for this show are General Admission Standing Room only.,45.0,65.0,French Rap,Hollywood,California,Hollywood Palladium,Trippie Redd,"['Trippie Redd', 'BlocBoy JB', 'Kodie Shane']",3,34.09850537,-118.32421313,40,55.0,2020-06-27
39,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,PROMOTED BY VENUE,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",29.75,450.75,French Rap,Denver,Colorado,Pepsi Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,39.74724,-105.010166,56,240.25,2020-07-27
40,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",29.75,425.75,French Rap,Fort Worth,Texas,Dickies Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,32.741072,-97.368507,41,227.75,2020-08-20
41,Bell Biv Devoe & Friends,event,PROMOTED BY VENUE,"Also, performing: Anthony Hamilton, Brian McKnight, Jagged Edge , Silk","This event has been rescheduled - new date October 10, 2020 8:00 PM. Tickets purchased for March 21st date may be used on the new date. Refunds at point of purchase only. Refund Policy",65.0,298.0,French Rap,San Francisco,California,Chase Center,Bell Biv Devoe,"['Bell Biv Devoe', 'Anthony Hamilton', 'Brian McKnight', 'Jagged Edge', 'Silk']",5,37.76797,-122.387464,22,181.5,2020-10-10
42,V101 Heart Of Hip Hop,event,PROMOTED BY VENUE,All floor seats for concerts and family shows come with club access.,,40.0,135.0,French Rap,Sacramento,California,Golden 1 Center,E-40,"['E-40', 'Fat Joe', 'Fabolous', 'Xzibit', 'Baby Bash', 'N2deep', 'J.J. Fad']",7,38.580372,-121.500231,36,87.5,2020-08-08
43,No Limit Reunion Tour featuring Master P,event,PROMOTED BY VENUE,,,39.0,199.0,French Rap,Jacksonville,Florida,VyStar Veterans Arena,Master P,['Master P'],1,30.325811,-81.645058,25,119.0,2020-03-21
44,Rod Wave,event,LIVE NATION MUSIC,The 2020 Wave Show featuring Rod Wave Performing Live.,"Doors 7PM. All ages show. Tickets also available service fee free at the Fillmore box office Monday & Wednesday from 12pm-5pm, Friday from 10am-6pm and on event days 2 hours prior to door time. For detailed venue info please visit:https://tour.lcp360.com/static/livenation/filldetroit2/",42.5,99.0,French Rap,Detroit,Michigan,The Fillmore Detroit presented by Cricket Wireless,Rod Wave,['Rod Wave'],1,42.4605914,-83.2129839,36,70.75,2020-04-04
45,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",39.75,450.75,French Rap,Charlotte,North Carolina,Spectrum Center ,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,35.225222,-80.839921,9,245.25,2020-07-15
46,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible. ATTENTION! - SAP Center enforces a Clear Bag Policy for all events. For more information, please visit http://www.sapcenter.com/guestservices/clearbag",26.75,471.75,French Rap,San Jose,California,SAP Center at San Jose,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,37.33276191,-121.90122373,40,249.25,2020-08-04
47,NF - The Search Tour,event,LIVE NATION MUSIC,,"Delivery delay in place until April 28, 2020.",31.25,99.75,French Rap,Tampa,Florida,Yuengling Center,NF,['NF'],1,28.0587114,-82.4154987,3,65.5,2020-05-01
48,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION - NO LN CONCERTS BRANDING,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",46.5,422.75,French Rap,Portland,Oregon,Moda Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,45.53118896,-122.66645813,47,234.625,2020-07-31
49,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible. -No refunds, no exchanges -Doors open one hour before the show -When facing the stage, seats are numbered right to left -Sections that begin with a letter are chairs on the floor that are not inclined -Sections that begin with a number are arena seats that incline as the rows increase -Row A5 in sections 1, 2, and 5 are the first row of sections 101, 102, and 105, respectively -Row A4 in sections 7, 8, 10, 13, 14, 15, and 16 are the first row of sections 107, 108, 110, 113, 114, 115, and 116, respectively. -To buy disabled seats, click on the ADA logo next to 'Find Tickets' and fill out the form -For ADA purchases, call 1-800-745-3000.",52.0,475.75,French Rap,Oakland,California,Oakland Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,37.7515541,-122.2015715,20,263.875,2020-08-03
50,Feed The Streetz Tour 2020,event,PROMOTED BY VENUE,Living Legendz Hip Hop Edition You Don't Want To Miss!,No refunds or exchanges. All sales final. Lineup subject to change.,84.0,492.0,French Rap,Chicago,Illinois,Wintrust Arena,Rick Ross,"['Rick Ross', 'Jeezy', 'T.I.', 'Yo Gotti', 'Lil Kim', 'DJ Drama']",6,41.853079,-87.62201,27,288.0,2020-05-30
51,Trippie Redd,event,PROMOTED BY VENUE,"This show is all ages. Every pair of (2) tickets purchased includes one (1) CD of Trippie Redd's forthcoming album, ""A Love Letter To You 4"". After your ticket purchase, you'll receive an additional email with instructions on how to redeem your album. US/Canadian residents only. Not valid for Fan to Fan Resale. Please Note: Not all events will be participating in the album bundle offer. Maximum of 4 albums redeemed per household. Lineup: Trippie Redd BlockBoy JB Kodie Shane","This show is all ages. Every pair of (2) tickets purchased includes one (1) CD of Trippie Redd's forthcoming album, ""A Love Letter To You 4"". After your ticket purchase, you'll receive an additional email with instructions on how to redeem your album. US/Canadian residents only. Not valid for Fan to Fan Resale. Please Note: Not all events will be participating in the album bundle offer. Maximum of 4 albums redeemed per household. Lineup: Trippie Redd BlockBoy JB Kodie Shane This event has been rescheduled from March 14th 2020 to June 26th 2020.",47.0,47.0,French Rap,Anaheim,California,House of Blues Anaheim presented by Cricket Wireless,Trippie Redd,"['Trippie Redd', 'BlocBoy JB', 'Kodie Shane']",3,33.8095868,-117.9229975,49,47.0,2020-06-26
52,NF - The Search Tour,event,LIVE NATION MUSIC,,No one under the age of 2 admitted. For parking & shuttle information: http://www.lagreektheatre.com,34.5,89.5,French Rap,Los Angeles,California,Greek Theatre,NF,['NF'],1,34.11948811,-118.29629093,34,62.0,2020-05-17
53,Russ,event,PROMOTED BY VENUE,,"Tickets are not available at the box office on the first day of the public on sale. ARRIVE EARLY: Please arrive one-hour prior to showtime. All packages, including briefcases and pocketbooks, will be inspected prior to entry.Inquiries or requests for accessible seating for this event should be made through Radio City Music Hall's Disabled Services at 212-465-6115.",59.0,109.0,French Rap,New York,New York,Radio City Music Hall,Russ,"['Russ', 'Benny The Butcher', 'BIA', 'Bugus']",4,40.7599136,-73.9803981,34,84.0,2020-06-12
54,Streets Iz Everything Tour,event,PROMOTED BY VENUE,,,79.0,159.0,French Rap,Detroit,Michigan,Fox Theatre Detroit,Lil Baby,"['Lil Baby', 'NBA Youngboy']",2,42.338548,-83.05207,35,119.0,2020-05-10
55,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",42.5,405.5,French Rap,Pittsburgh,Pennsylvania,PPG Paints Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,40.4388401,-79.9908551,28,224.0,2020-06-26
56,Russ: Shake The Globe Tour,event,PROMOTED BY VENUE,Ages 2+ Require a ticket to enter the venue. General Doors will open one (1) hour prior to scheduled event time. General Parking will be available on the day of the show for $15. Valet Parking will be available on the day of the show for $25.,Ages 2+ Require a ticket to enter the venue. General Doors will open one (1) hour prior to scheduled event time. General Parking will be available on the day of the show for $15. Valet Parking will be available on the day of the show for $25.,39.95,59.95,French Rap,Cedar Park,Texas,H-E-B Center at Cedar Park,Russ,"['Russ', 'BIA', 'Benny The Butcher', 'Bugus']",4,30.5393195,-97.82448,36,49.95,2020-05-17
57,NF - The Search Tour,event,LIVE NATION MUSIC,"This is an ALL AGES event. Aragon Ballroom is a standing room only venue, all tickets are General Admission unless otherwise stated. There is NO re-entry. There is a delivery delay until April 14th.","This is an ALL AGES event. Byline Bank Aragon Ballroom is a standing room only venue, all tickets are General Admission unless otherwise stated. There is NO re-entry. There is a delivery delay until April 14th.",49.5,49.5,French Rap,Chicago,Illinois,Byline Bank  Aragon Ballroom,NF,['NF'],1,41.96941873,-87.65797212,25,49.5,2020-04-17
58,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,PROMOTED BY VENUE,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",36.75,650.0,French Rap,Saint Paul,Minnesota,Xcel Energy Center,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,44.94489438,-93.10121819,37,343.375,2020-06-22
